Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database
"Honnekeri, A., Brager, G., Dhaka, S., & Mathur, J. (2014). Comfort and adaptation in mixed-mode buildings in a hot-dry climate.",Shivraj Dhaka and Jyotirmay Mathur,2011.0,Spring,BSh,Hot semi-arid,Jaipur,India,Others,Mixed Mode,Air Conditioned,,46.0,Male,-1.0,,cooler,,,5.0,,,,0.55,1.2,,,,,31.8,89.2,,,,,,,,,,,,,,,,,,,24.2,more humid,2.0,0.03,5.91,,,,,,,170.2,73.0,1.0,1.0,,1.0,,34.4,93.9,Database 2
"Wang, Z. (2006). A field study of the thermal comfort in residential buildings in Harbin. Building and Environment, 41(8), 1034-1039.",Zhaojun Wang,2001.0,Winter,Dwa,Monsoon-influenced hot-summer humid continental,Harbin,China,Multifamily housing,,,Mechanical Heating,50.0,Female,1.0,1.0,,,,,,,,1.17,,,,,,21.1,69.9,,,,,,,21.2,70.1,21.3,70.3,,,,,,,,,42.0,,,0.08,15.67,,,,,,,,,,,,,,-15.0,5.0,Database 2
"de Dear, R. J. and A. Auliciems (1985) ""Validation of the Predicted Mean Vote model of thermal comfort in six Australian field studies."" ASHRAE Trans., V. 91(2), pp. 452- 468.",Richard de Dear,1983.0,Summer,Cfb,Oceanic,Melbourne,Australia,Office,Air Conditioned,,,38.0,Male,-0.5,,cooler,,,,0.32,7.06,26.89,0.64,1.42,1.058020478,1.774744027,1.058020478,1.774744027,22.6,72.7,,,22.6,72.7,,,24.1,75.4,25.6,78.2,24.0,75.2,,,24.0,75.2,,,43.7,,,0.12,23.62,,,0.12,23.62,,,,,,,,,,,,Database 1
"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1994.0,Winter,BWh,Hot desert,Peshawar,Pakistan,,Naturally Ventilated,,,37.0,Male,0.0,,no change,,,,-2.86,98.33,20.44,1.16,0.77,,,,,18.3,64.9,,,18.3,64.9,,,18.0,64.4,17.7,63.9,17.8,64.0,,,17.8,64.0,,,51.8,,,0.15,30.31,,,0.15,30.31,,,,,,,,,,,,Database 1
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Summer,BSh,Hot semi-arid,Ahmedabad,India,Office,Mixed Mode,Air Conditioned,,35.0,Male,0.0,1.0,no change,,no change,3.0,1.4,47.0,29.34,0.67,1.1,,,,,29.4,84.9,29.4,84.9,,,,,,,,,,,29.4,84.9,,,,,76.8,,,0.71,138.78,0.71,138.78,,,,,168.0,60.0,,1.0,1.0,,,29.5,85.1,Database 2
"Luo, M. Zhou, X. Zhu Y., Zhang, D. Cao, B. Exploring the dynamic process of human thermal adaptation: A study in teaching building, Energy and Buildings 127 (2016), 425-432.",Maohui Luo,2012.0,Winter,Cfa,Humid subtropical,Shanghai,China,Classroom,Naturally Ventilated,,,,Female,-1.0,1.0,warmer,,less,5,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,no change,0.0,,,,,,,,,,,,,,,,,,Database 2
"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1994.0,Winter,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,26.0,Male,0.0,,warmer,,,,-1.98,75.9,22.94,0.76,0.77,,,,,23.4,74.1,,,23.4,74.1,,,23.4,74.1,23.4,74.1,23.4,74.1,,,23.4,74.1,,,23.5,,,0.02,3.73,,,0.02,3.73,,,,,,,,,,,,Database 1
"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Male,-1.0,,no change,,less,,0.5,11.0,27.14,0.73,1.2,,,,,25.2,77.4,,,,,,,,,27.5,81.5,26.4,79.5,,,,,,,31.7,no change,0.0,0.2,39.37,,,,,,,,,,,,,,20.2,68.3,Database 2
"Hawighorst, M., Schweiker, M. and Wagner, A., 2016. Thermo-specific self-efficacy (specSE) in relation to perceived comfort and control. Building and Environment, 102, pp.193-206.",Marcel Schweiker,2011.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Mixed Mode,Unknown,,,,1.0,,cooler,,,4.5,,,,0.55,1.2,,,,,25.9,78.6,,,,,,,,,,,,,,,,,,,37.7,,,0.05,9.84,,,,,,,,,1.0,,1.0,0.0,0.0,17.2,63.0,Database 2
"Luo, M. Zhou, X. Zhu Y., Zhang, D. Cao, B. Exploring the dynamic process of human thermal adaptation: A study in teaching building, Energy and Buildings 127 (2016), 425-432.",Maohui Luo,2012.0,Winter,Cfa,Humid subtropical,Shanghai,China,Classroom,Naturally Ventilated,,,,Male,0.0,1.0,no change,,no change,5,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,no change,0.0,,,,,,,,,,,,,,,,,,Database 2
"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Saidu Sharif,Pakistan,,Naturally Ventilated,,,20.0,Female,0.0,,no change,,,,2.57,94.69,34.08,1.06,0.77,,,,,33.4,92.1,,,33.4,92.1,,,33.5,92.2,33.5,92.4,33.5,92.3,,,33.5,92.3,,,46.8,,,0.19,37.01,,,1.99,391.36,,,,,,,,,,,,Database 1
"Konis, Kyle.""Evaluating daylighting effectiveness and occupant visual comfort in a side-lit open-plan office building in San Francisco, California"". Building and Environment 59. 1 (2013); 662-667.",Kyle Konis,2010.0,Summer,Csb,Warm-summer Mediterranean,San Francisco,USA,Office,Mixed Mode,Unknown,,,,,,,,,3.5,,,,,,,,,,23.7,74.7,23.7,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,62.7,Database 2
"De Vecchi, R. et al. ""Thermal history and its influence on occupants' thermal acceptability and cooling preferences in warm-humid climates: a new desire for comfort?""  Proceedings of 7th Windsor Conference: The changing context of comfort in an unpredictable world Cumberland Lodge, Windsor, UK, 12-15 April 2012. London: Network for Comfort and Energy Use in Buildings, http://nceub.org.uk.",Renata De Vecchi,2010.0,Autumn,Cfa,Humid subtropical,Florianopolis,Brazil,Office,Mixed Mode,Naturally Ventilated,,32.0,Female,0.0,1.0,no change,1.0,no change,,,,,0.58,1.0,,,,,24.4,75.9,,,,,,,,,,,,,,,,,,,82.1,,,0.1,19.69,,,,,,,167.0,60.0,,,1.0,,,23.0,73.4,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Summer,Cwb,Subtropical highland,Shimla,India,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,55.0,Female,0.0,1.0,no change,,more,6.0,-0.4,9.0,23.38,0.75,1.1,,,,,22.0,71.6,22.0,71.6,,,,,,,,,,,21.3,70.3,,,,,77.3,,,0.01,0.98,0.01,0.98,,,,,167.6,94.0,,,1.0,,,18.5,65.3,Database 2
"de Dear, R.J. and M.E. Fountain (1994) ""Field experiments on occupant comfort and office thermal environments in a hot- humid climate,"" ASHRAE Transactions, Vol.100(2), pp.457- 475.",Richard de Dear,1993.0,Summer,Aw,Tropical wet savanna,Townsville,Australia,Office,Air Conditioned,,,38.0,Female,1.3,0.0,cooler,0.0,more,4,0.86,20.78,28.07,0.43,1.61,1.0,2.0,2.0,1.5,26.5,79.6,26.7,80.0,26.5,79.7,26.2,79.1,26.8,80.2,27.1,80.8,26.7,80.1,26.9,80.5,26.7,80.1,26.5,79.6,61.0,,,0.23,45.28,0.34,67.13,0.26,50.98,0.09,17.13,,,,,,,,,,Database 1
"Luo, M. Zhou, X. Zhu Y., Zhang, D. Cao, B. Exploring the dynamic process of human thermal adaptation: A study in teaching building, Energy and Buildings 127 (2016), 425-432.",Maohui Luo,2012.0,Winter,Cfa,Humid subtropical,Shanghai,China,Classroom,Naturally Ventilated,,,,Female,1.0,0.0,no change,,more,4,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,no change,0.0,,,,,,,,,,,,,,,,,,Database 2
"Loveday D. L., Webb L. H., Verma P., Cook M. J., Rawal R., Vadodaria K., Cropper P., Brager G., Zhang H., Foldvary V., Arens E., Babich F., Cobb R., Ariffin R., Kaam S., Toledo L. The Role of Air Motion for Providing Thermal Comfort in Residential / Mixed Mode Buildings: Multi-partner Global Innovation Initiative (GII) Project. Proceedings of 9th Windsor Conference. (2016) Windsor, UK.",Lynda Webb,2015.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Multifamily housing,Naturally Ventilated,,Mechanical Heating,40.0,Male,3.0,0.0,cooler,0.0,more,2.0,,,,0.5,1.0,,,,,28.8,83.8,,,,,,,,,,,,,,,,,,,63.8,,0.0,,,,,,,,,,,,,,,,28.9,83.9,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Spring,Aw,Tropical wet savanna,Chennai,India,Office,Mixed Mode,Air Conditioned,,,Male,-1.0,1.0,warmer,,more,,0.8,19.0,28.23,0.72,1.0,,,,,27.0,80.6,,,,,,,,,,,,,27.8,82.0,,,,,43.0,,,0.14,27.56,,,,,,,,62.0,,,0.0,1.0,,30.4,86.7,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Autumn,Aw,Tropical wet savanna,Chennai,India,Office,Mixed Mode,Air Conditioned,,,Male,0.0,1.0,no change,,no change,,0.3,7.0,26.35,0.62,1.0,,,,,26.4,79.5,,,,,,,,,,,,,26.5,79.7,,,,,46.0,,,0.11,21.65,,,,,,,,59.0,,,0.0,0.0,,29.7,85.5,Database 2
"Loveday D. L., Webb L. H., Verma P., Cook M. J., Rawal R., Vadodaria K., Cropper P., Brager G., Zhang H., Foldvary V., Arens E., Babich F., Cobb R., Ariffin R., Kaam S., Toledo L. The Role of Air Motion for Providing Thermal Comfort in Residential / Mixed Mode Buildings: Multi-partner Global Innovation Initiative (GII) Project. Proceedings of 9th Windsor Conference. (2016) Windsor, UK.",Lynda Webb,2015.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Multifamily housing,Naturally Ventilated,,Mechanical Heating,60.0,Male,0.0,1.0,warmer,1.0,more,3.0,,,,0.9,1.0,,,,,18.8,65.9,,,,,,,,,,,,,,,,,,,57.0,,2.0,,,,,,,,,,,,,,,,18.9,66.0,Database 2
"Wang, Z., Zhang, L., Zhao, J., He, Y., & Li, A. (2011). Thermal responses to different residential environments in Harbin. Building and environment, 46(11), 2170-2178.",Zhaojun Wang,2010.0,Winter,Dwa,Monsoon-influenced hot-summer humid continental,Harbin,China,Multifamily housing,Naturally Ventilated,,,23.0,Female,0.0,,no change,,no change,,,,,1.07,,,,,,19.2,66.6,,,,,,,,,,,,,,,,,,,42.1,no change,0.0,0.03,5.91,,,,,,,165.0,55.0,,,1.0,,,-8.8,16.2,Database 2
"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,55.0,Female,-2.0,0.0,warmer,1.0,no change,,-0.7,15.0,22.64,0.68,1.3,,,,,20.3,68.5,,,20.3,68.5,,,20.6,69.1,,,,,,,20.6,69.1,,,41.5,,,0.08,15.75,,,0.08,15.76,,,,,0.0,,0.0,0.0,0.0,13.0,55.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,,,,,,,,,,22.1,71.7,,,,,,,,,,,,,19.8,67.6,,,21.8,71.2,52.4,,,0.14,27.56,,,,,,,,,,,,,,4.0,39.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,-1.0,0.0,cooler,,,,,,,,1.2,,,,,26.0,78.8,,,,,,,,,,,,,26.1,79.0,,,,,25.6,,,0.05,9.84,,,,,,,,,,,,,,16.0,61.0,Database 2
"De Vecchi, R. et al. ""Thermal history and its influence on occupants' thermal acceptability and cooling preferences in warm-humid climates: a new desire for comfort?""  Proceedings of 7th Windsor Conference: The changing context of comfort in an unpredictable world Cumberland Lodge, Windsor, UK, 12-15 April 2012. London: Network for Comfort and Energy Use in Buildings, http://nceub.org.uk.",Renata De Vecchi,2010.0,Summer,Cfa,Humid subtropical,Florianopolis,Brazil,Classroom,Mixed Mode,Naturally Ventilated,,26.0,Female,1.0,1.0,,1.0,more,,,,,0.46,1.0,,,,,27.1,80.7,,,,,,,,,,,,,,,,,,,64.8,,,0.1,19.69,,,,,,,155.0,53.0,,,1.0,,,25.0,77.0,Database 2
"Teli, D., Jentsch, M. F., & James, P. A. (2012). Naturally ventilated classrooms: An assessment of existing comfort models for predicting the thermal sensation and preference of primary school children. Energy and Buildings, 53, 166-182.",Despoina Teli,2012.0,Spring,Dfb,Warm-summer humid continental,Hampshire,UK,Classroom,Naturally Ventilated,,,,,1.0,,,,,,-0.2,6.0,24.61,0.75,1.2,,,,,21.6,70.9,,,,,,,21.8,71.2,22.0,71.6,,,,,,,,,71.8,,,0.1,19.07,,,,,,,,,,,,,,21.1,70.0,Database 2
"de Dear, R. J., Leow, K. G. and S. C. Foo (1991) ""Thermal comfort in the humid tropics: Field experiments in air conditioned and naturally ventilated buildings in Singapore"". International Journal of Biometeorology, Vol. 34, pp. 259-265.",Richard de Dear,1987.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Naturally Ventilated,,,,Male,0.0,,,,,,0.87,20.97,27.39,0.05,1.6,0.989761092,0.938566553,1.979522184,1.979522184,28.1,82.6,,,28.1,82.6,,,28.4,83.2,28.7,83.7,28.7,83.7,,,28.7,83.7,,,79.2,,,0.21,41.34,,,0.21,41.34,,,,,,,,,,,,Database 1
"Baker, N and M. Standeven. (1995) ""A Behavioural Approach to Thermal Comfort Assessment in Naturally Ventilated Buildings"". Proceedings from CIBSE National Conference, Ch 76-84.",Nick Baker,1993.0,Summer,Csa,Hot-summer mediterranean,Athens,Greece,Office,Naturally Ventilated,,,,Female,0.0,1.0,no change,,,,2.51,93.67,28.65,0.39,1.0,,,,,33.5,92.3,,,33.5,92.3,,,33.5,92.3,33.5,92.3,33.5,92.3,,,33.5,92.3,,,31.6,,,0.44,86.22,,,0.44,86.22,,,,,,,,,,,,Database 1
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,0.2,6.0,25.75,0.75,1.1,,,,,24.6,76.2,,,,,,,,,,,,,24.6,76.2,,,,,41.2,,,0.04,8.04,,,,,,,,,,,,,,16.0,61.0,Database 2
"Nakamura Y., Yokoyama S., Tsuzuki K., Miyamato S., Ishii A.,  Tsutsumi J., Okamato T. (2008) Method for Simultaneous Measurement of the Occupied Environment Temperature in Various Areas for Grasp of Adaptation to Cilinate in Daily Life . J. Human and Livi",Kazuyo Tsuzuki ,2005.0,Summer,Cfa,Humid subtropical,Tsukuba,Japan,Multifamily housing,Mixed Mode,Air Conditioned,,,Male,0.8,,cooler,,,4.3,,,,0.19,1.6,,,,,26.4,79.5,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,27.0,80.6,Database 2
"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Multan,Pakistan,,Naturally Ventilated,,,22.0,Male,0.0,,no change,,,,0.93,23.12,26.21,0.37,1.01,,,,,30.1,86.2,,,30.1,86.2,,,29.9,85.9,29.7,85.5,29.8,85.6,,,29.8,85.6,,,64.1,,,0.62,122.85,,,0.62,122.85,,,,,,,,,,,,Database 1
"Djamila, H., Chu, C. M., & Kumaresan, S. (2013). Field study of thermal comfort in residential buildings in the equatorial hot-humid climate of Malaysia. Building and Environment, 62, 133-142.",Djamila,2007.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Multifamily housing,Naturally Ventilated,,,36.0,Female,1.0,1.0,cooler,,,,,,,0.3,1.0,,,,,33.4,92.1,,,,,,,,,,,,,33.6,92.5,,,,,64.7,no change,,0.6,118.11,,,,,,,150.0,58.0,,1.0,1.0,1.0,,28.5,83.3,Database 2
"De Vecchi, R. et al. ""Thermal history and its influence on occupants' thermal acceptability and cooling preferences in warm-humid climates: a new desire for comfort?""  Proceedings of 7th Windsor Conference: The changing context of comfort in an unpredictable world Cumberland Lodge, Windsor, UK, 12-15 April 2012. London: Network for Comfort and Energy Use in Buildings, http://nceub.org.uk.",Renata De Vecchi,2010.0,Winter,Cfa,Humid subtropical,Florianopolis,Brazil,Office,Air Conditioned,,,45.0,Male,0.0,1.0,no change,1.0,no change,,,,,0.61,1.0,,,,,22.4,72.3,,,,,,,,,,,,,,,,,,,65.6,,,0.2,39.37,,,,,,,180.0,75.0,,,0.0,,,19.0,66.2,Database 2
"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,London,UK,Others,Air Conditioned,,Mechanical Heating,,Male,-1.0,,warmer,,less,,0.2,6.0,25.98,0.7,1.4,,,,,22.3,72.1,,,,,,,,,23.1,73.6,22.8,73.0,,,,,,,50.3,more humid,2.0,0.0,0.0,,,,,,,,,,,,,,15.5,59.9,Database 2
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Japan,Classroom,Naturally Ventilated,,,14.0,Male,-0.5,1.0,cooler,0.0,more,1.0,,,,0.34,,,,,,26.9,80.5,26.9,80.5,,,,,,,,,27.1,80.8,27.1,80.8,,,,,72.8,,,0.27,53.15,,,,,,,164.0,,,,,,,18.0,64.4,Database 2
"Romero, R. A., Boj—rquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, MŽxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,Aw,Tropical wet savanna,Colima,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,0.0,,,,,,,,,,,,,,,27.7,81.9,,,,,,,,,,,,,28.5,83.3,,,,,42.0,,,0.2,39.37,,,,,,,164.0,,,,,,,24.0,75.2,Database 2
